original_Name,original_Father's Name,original_ID Number,original_Phone Number,original_Address,original_Specialty,lat,lon,formatted,housenumber,name,street,postcode,county,district,suburb,city,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
Muhammad Hassan,Hassan Ali,56562-1644253-2,03814931454,"939 Road, Kimari,City",Denter,24.8491817,67.0025148,"National Bank of Pakistan - I.I. Chundrigar Road, I.I. Chundrigar Road, Sultanabad, Karachi Division 72500, Pakistan",,National Bank of Pakistan - I.I. Chundrigar Road,I.I. Chundrigar Road,72500,Karachi,,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.29524500000000004,0.81,0.5904900000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Ali,Hassan Afzal,60561-4500400-7,03770653240,"845 Avenue, Kimari,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Hassan,Hassan Faizan,80365-3946532-4,03976207595,"514 Street, Liaquatabad,City",Painter,24.898342,67.042207,"48th Street, C Area Liaquatabad, Karachi, Pakistan",,,48th Street,,Karachi,,C Area Liaquatabad,Karachi,Sindh,SD,Pakistan,pk,0.52488,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ali Arsalan,Bilal Afzal,35887-2649682-4,03379579151,"178 Street, Five Star,Town",Electrician,33.666809,72.994792,"Street 178, Sector G-11, Islamabad, Pakistan",,,Street 178,,,,Sector G-11,Islamabad,Islamabad,IS,Pakistan,pk,0.0703230056710775,0.5103000000000001,0.45927000000000007,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Afzal,Afzal Qazi Mairaj,48534-4278122-2,03423287397,"922 Avenue, Johar,Town",Electrician,24.9078919,67.1381622,"Bisma Avenue, Johar Chowrangi Road, Gulistan e Johar, Karachi Division 75300, Pakistan",,Bisma Avenue,Johar Chowrangi Road,75300,Karachi,Rufi Foundation,Gulistan e Johar,Karachi Division,Sindh,SD,Pakistan,pk,0.46042105263157895,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Faizan,Faizan Bilal,54963-2376803-8,03949945581,"97 Road, Korangi,Town",Painter,24.8470249,67.1619649,"Main Korangi Road, Bagh-e-Korangi, Landhi Town 75120, Pakistan",,Main Korangi Road,Main Korangi Road,75120,,Landhi Town,Bagh-e-Korangi,Landhi Town,Sindh,SD,Pakistan,pk,0.648,0.9,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Afzal,Nisar Qamar,76118-6366264-8,03811282550,"324 Road, Five Star,City",Key Maker,,,,,,,,,,,,,,,,,,,,,
Qamar Muhammad,Muhammad Muhammad,98509-5505924-6,03338461399,"736 Road, Johar,Town",Painter,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Qazi Mairaj Ali,Qamar Ali,25242-4566241-8,03791238705,"467 Street, Liaquatabad,Town",Auto Mechanic,24.898417,67.0502479,"Street 26, Liaquatabad, Liquatabad Town 75900, Pakistan",,Street 26,Street 26,75900,,B 1 Area Liaquatabad,Liaquatabad,Liquatabad Town,Sindh,SD,Pakistan,pk,0.4536,1,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Hassan,Haider Hassan,29795-2837956-9,03760524847,"824 Road, Kimari,Town",Body-Mechanic,31.466893,74.290707,"Chanandin Road, Johar Town, Lahore, Pakistan",,,Chanandin Road,,Lahore,,Johar Town,Lahore,Punjab,PB,Pakistan,pk,0.405,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Nisar,Bilal Bilal,50507-2321275-1,03201174806,"712 Avenue, Orangi,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Arsalan,Qazi Mairaj Arsalan,22120-7936836-6,03739656711,"944 Street, Johar,Town",Painter,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Muhammad Haider,Hassan Faizan,72325-6111278-1,03084714890,"998 Road, Saddar,City",Flat Tire Mechanic,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Arsalan,Qamar Ahmed,66320-7583265-3,03649371257,"654 Road, Korangi,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Ali,Qamar Ahmed,30865-5019675-9,03840655127,"707 Street, Gulshan,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Ali Ahmed,Afzal Ali,15999-6628306-2,03408899744,"588 Street, Johar,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Arsalan Arsalan,Bilal Faizan,49310-4130940-1,03273454144,"794 Avenue, Korangi,Town",Auto Mechanic,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.4242857142857143,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Muhammad,Qamar Nisar,59968-6544297-1,03664526817,"132 Avenue, Liaquatabad,Town",Denter,33.668433,73.003614,"Street 132, Sector G-11, Islamabad, Pakistan",,,Street 132,,,,Sector G-11,Islamabad,Islamabad,IS,Pakistan,pk,0.023040000000000012,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Hassan,Qazi Mairaj Muhammad,81349-1092694-7,03888425182,"332 Road, Kimari,City",Painter,24.8491817,67.0025148,"National Bank of Pakistan - I.I. Chundrigar Road, I.I. Chundrigar Road, Sultanabad, Karachi Division 72500, Pakistan",,National Bank of Pakistan - I.I. Chundrigar Road,I.I. Chundrigar Road,72500,Karachi,,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.29524500000000004,0.81,0.5904900000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Faizan,Arsalan Ahmed,41284-7846152-9,03830143161,"653 Road, Saddar,City",Denter,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Ali,Qamar Nisar,21383-5955835-5,03419943370,"83 Avenue, Korangi,City",Key Maker,33.667142,73.079219,"Street 83, Sector I-8, Islamabad, Pakistan",,,Street 83,,,,Sector I-8,Islamabad,Islamabad,IS,Pakistan,pk,0.32805000000000006,0.7290000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Arsalan,Muhammad Faizan,67149-8912828-9,03494468690,"486 Street, Orangi,Town",Painter,24.93745,66.998323,"Street 4, Mominabad, Karachi Division 75840, Pakistan",,,Street 4,75840,Karachi,Orangi Sector 11,Mominabad,Karachi Division,Sindh,SD,Pakistan,pk,0.47385000000000005,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Qazi Mairaj,Bilal Ali,88281-9148084-1,03209242156,"462 Avenue, Kimari,Town",Auto Mechanic,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2835,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Muhammad,Muhammad Faizan,33459-8078553-4,03936212046,"996 Street, Korangi,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Ahmed Muhammad,Qazi Mairaj Muhammad,66277-6317912-6,03975266992,"774 Street, Korangi,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Haider,Faizan Nisar,27876-5945701-7,03884965640,"294 Avenue, Five Star,Town",Electrician,31.4587818,74.4042943,"294 Street 5, DHA Phase V, Keer 54100, Pakistan",294,,Street 5,54100,Lahore,Sui Gas Cop Society,DHA Phase V,Keer,Punjab,PB,Pakistan,pk,0.33280434782608703,0.63,0.5103000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Afzal,Haider Hassan,83176-9411775-9,03776959232,"82 Road, Gulshan,Town",Electrician,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.6000000000000001,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Arsalan Faizan,Haider Bilal,95450-4294669-5,03966433278,"868 Avenue, Gulshan,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Ali Hassan,Nisar Ali,98609-9524857-3,03716681880,"792 Street, Kimari,Town",Denter,33.609904150000006,72.96030188000579,"792 Street 7, I-14, Islamabad 45210, Pakistan",792,,Street 7,45210,,,I-14,Islamabad,Islamabad Capital Territory,IS,Pakistan,pk,0.81,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Afzal Qazi Mairaj,Bilal Ali,92130-9576291-6,03853894230,"596 Street, Johar,City",Painter,,,,,,,,,,,,,,,,,,,,,
Muhammad Haider,Bilal Ali,99318-7190289-1,03900868478,"783 Avenue, Orangi,City",Key Maker,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Muhammad,Arsalan Faizan,10465-3406713-1,03599690819,"132 Street, Korangi,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Muhammad,Faizan Nisar,32262-6216216-8,03229241787,"37 Street, Gulshan,Town",Flat Tire Mechanic,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.9,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Bilal Arsalan,Qazi Mairaj Ahmed,48811-2805934-4,03837580303,"810 Road, Kimari,Town",Painter,24.8759114,67.179059,"Meezan Bank Jamia Millia Road Branch, Jamia Milla Road, Shah Faisal Town, Karachi Division 75210, Pakistan",,Meezan Bank Jamia Millia Road Branch,Jamia Milla Road,75210,Karachi,,Shah Faisal Town,Karachi Division,Sindh,SD,Pakistan,pk,0.32805000000000006,0.81,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Qamar,Haider Muhammad,30247-6700154-4,03643787762,"848 Avenue, Liaquatabad,City",Painter,24.8520348,67.0156266,"Tahir Avenue, I.I. Chundrigar Road, Serai Quarter, Karachi Division 72500, Pakistan",,Tahir Avenue,I.I. Chundrigar Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.25719119999999995,0.3969,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Afzal,Faizan Muhammad,36302-8810279-2,03173756675,"196 Street, Orangi,Town",Body-Mechanic,24.7784963,67.0572415,"196 40th Street, DHA Phase 8, Karachi Division 74500, Pakistan",196,,40th Street,74500,Karachi,DHA Phase 6,DHA Phase 8,Karachi Division,Sindh,SD,Pakistan,pk,0.45,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Nisar,Afzal Afzal,80182-3781149-7,03201309622,"120 Street, Johar,Town",Auto Mechanic,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Faizan Ahmed,Nisar Muhammad,99187-7672792-7,03727870906,"920 Road, Saddar,City",Electrician,32.4993622,74.5461459,"Railway Road, Old City, Sialkot 51300, Pakistan",,Railway Road,Railway Road,51300,,Mohallah Bajranpura,Old City,Sialkot,Punjab,PB,Pakistan,pk,0.42525,0.9,0.5103,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Afzal,Faizan Hassan,71696-3780194-3,03877687412,"253 Street, Five Star,Town",Body-Mechanic,24.8799767,67.0830026,"253 11th Street, Shabbirabad, Karachi Division 75300, Pakistan",253,,11th Street,75300,Karachi,Adamji Nagar,Shabbirabad,Karachi Division,Sindh,SD,Pakistan,pk,0.17013232514177698,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Qazi Mairaj,Muhammad Qamar,65679-9727366-4,03934479194,"509 Street, Liaquatabad,City",Auto Mechanic,24.9438211,67.05560626929955,"A 509 8th Street N, North Nazimabad, Karachi Division 74700, Pakistan",A 509,,8th Street N,74700,Karachi,,North Nazimabad,Karachi Division,Sindh,SD,Pakistan,pk,0.3306744,0.567,0.45927,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Ali,Hassan Arsalan,22043-4888848-1,03629340421,"514 Road, Johar,City",Electrician,,,,,,,,,,,,,,,,,,,,,
Ahmed Arsalan,Hassan Ahmed,97290-8898342-7,03697046388,"507 Avenue, Liaquatabad,Town",Key Maker,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2700000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Bilal,Muhammad Muhammad,85052-9637550-1,03165017490,"553 Road, Kimari,Town",Painter,24.8759114,67.179059,"Meezan Bank Jamia Millia Road Branch, Jamia Milla Road, Shah Faisal Town, Karachi Division 75210, Pakistan",,Meezan Bank Jamia Millia Road Branch,Jamia Milla Road,75210,Karachi,,Shah Faisal Town,Karachi Division,Sindh,SD,Pakistan,pk,0.32805000000000006,0.81,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Muhammad,Arsalan Ahmed,48548-5942453-8,03366782292,"510 Street, Johar,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Qazi Mairaj,Arsalan Ali,14679-8038595-4,03349106712,"963 Road, Johar,City",Key Maker,,,,,,,,,,,,,,,,,,,,,
Qamar Bilal,Qazi Mairaj Muhammad,86852-8793696-9,03103321369,"972 Road, Orangi,City",Key Maker,24.955874,66.9770022,"City Cambridge School, L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,City Cambridge School,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Qamar,Qazi Mairaj Hassan,99571-9862140-6,03910295469,"121 Street, Orangi,Town",Auto Mechanic,24.8068482,67.0697321,"121 5th Street, DHA Phase 6, Karachi Division 74500, Pakistan",121,,5th Street,74500,Karachi,DHA Phase 6,DHA Phase 6,Karachi Division,Sindh,SD,Pakistan,pk,0.45,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Nisar,Nisar Haider,26297-7837504-5,03040725681,"427 Street, Johar,Town",Electrician,31.99023,74.21534,"Town, Gujranwala, Pakistan",,,,,Gujranwala,,,Town,Punjab,PB,Pakistan,pk,0.11111111111111113,1,,,,https://www.whosonfirst.org/docs/licenses/
Haider Faizan,Muhammad Faizan,49749-9104906-7,03770116154,"391 Street, Orangi,City",Key Maker,24.93745,66.998323,"Street 4, Orangi Town Sector 4, Karachi, Pakistan",,,Street 4,,Karachi,,Orangi Town Sector 4,Karachi,Sindh,SD,Pakistan,pk,0.4264650000000001,0.7290000000000001,0.6561000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Bilal,Ali Muhammad,63196-7775056-4,03432202876,"761 Avenue, Korangi,City",Electrician,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Qazi Mairaj,Afzal Nisar,81345-1606747-2,03564346571,"512 Avenue, Kimari,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Ali,Haider Ahmed,44641-1211945-5,03589917671,"156 Avenue, Saddar,City",Auto Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Afzal,Faizan Haider,99879-6222539-7,03763125922,"950 Avenue, Johar,Town",Painter,24.9078919,67.1381622,"Bisma Avenue, Johar Chowrangi Road, Gulistan e Johar, Karachi Division 75300, Pakistan",,Bisma Avenue,Johar Chowrangi Road,75300,Karachi,Rufi Foundation,Gulistan e Johar,Karachi Division,Sindh,SD,Pakistan,pk,0.46042105263157895,0.81,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Muhammad,Afzal Qamar,28631-5936064-2,03826024659,"876 Avenue, Korangi,City",Denter,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Ali,Muhammad Afzal,18899-6269680-4,03163001541,"668 Road, Orangi,Town",Auto Mechanic,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Afzal,Nisar Qamar,93275-5452883-5,03626745089,"858 Road, Saddar,Town",Denter,33.598828,73.059156,"Burton Road, Saddar, Rawalpindi, Pakistan",,,Burton Road,,Rawalpindi,,Saddar,Rawalpindi,Punjab,PB,Pakistan,pk,0.55,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Qazi Mairaj,Haider Muhammad,91700-4958823-3,03031329457,"228 Avenue, Kimari,Town",Denter,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qamar Qazi Mairaj,Muhammad Ali,80171-6453739-9,03387196020,"388 Avenue, Korangi,Town",Key Maker,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.4242857142857143,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Arsalan,Ali Ahmed,54912-1589091-5,03881911701,"14 Street, Kimari,Town",Electrician,24.833399,67.023984,"14th Street, Clifton Block 7, Karachi, Pakistan",,,14th Street,,Karachi,,Clifton Block 7,Karachi,Sindh,SD,Pakistan,pk,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Arsalan Haider,Ali Qamar,67618-3638238-2,03053417557,"104 Street, Korangi,Town",Auto Mechanic,24.8259096,67.1066858,"Allahwala Town Sector A, Street 6, Korangi, Karachi Division 74900, Pakistan",,Allahwala Town Sector A,Street 6,74900,,Korangi,Korangi,Karachi Division,Sindh,SD,Pakistan,pk,0.6000000000000001,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Muhammad Nisar,Qamar Hassan,10335-9103363-7,03312109563,"389 Road, Five Star,Town",Body-Mechanic,33.607777350000006,72.96110828962918,"389 Street 1, I-14, Islamabad 45210, Pakistan",389,,Street 1,45210,,,I-14,Islamabad,Islamabad Capital Territory,IS,Pakistan,pk,0.31590000000000007,0.63,0.5103000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Bilal,Arsalan Hassan,57888-8543671-4,03188496229,"439 Road, Orangi,City",Body-Mechanic,24.955874,66.9770022,"City Cambridge School, L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,City Cambridge School,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Faizan Faizan,Qamar Arsalan,32424-4521101-9,03659512034,"48 Avenue, Johar,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Muhammad Ali,Muhammad Qazi Mairaj,92087-3647103-1,03233875447,"761 Road, Five Star,City",Flat Tire Mechanic,,,,,,,,,,,,,,,,,,,,,
Ahmed Haider,Qazi Mairaj Ahmed,30829-2523994-3,03369382300,"869 Road, Kimari,City",Auto Mechanic,24.8491817,67.0025148,"National Bank of Pakistan - I.I. Chundrigar Road, I.I. Chundrigar Road, Sultanabad, Karachi Division 72500, Pakistan",,National Bank of Pakistan - I.I. Chundrigar Road,I.I. Chundrigar Road,72500,Karachi,,Sultanabad,Karachi Division,Sindh,SD,Pakistan,pk,0.29524500000000004,0.81,0.5904900000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bilal Haider,Muhammad Qamar,37634-5193343-8,03148433716,"223 Avenue, Kimari,Town",Electrician,33.551749,73.132651,"Central Avenue, Bahria Town, Rawalpindi, Pakistan",,,Central Avenue,,Rawalpindi,,Bahria Town,Rawalpindi,Punjab,PB,Pakistan,pk,0.44550000000000006,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Haider Qazi Mairaj,Arsalan Haider,62746-6343237-9,03495273903,"350 Avenue, Korangi,City",Denter,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Ahmed,Ali Muhammad,11334-6157055-5,03345697757,"61 Street, Five Star,City",Auto Mechanic,,,,,,,,,,,,,,,,,,,,,
Qamar Nisar,Haider Bilal,11705-2115618-8,03646839804,"248 Avenue, Orangi,City",Auto Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.4009500000000001,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Qazi Mairaj Qazi Mairaj,Afzal Faizan,42692-4236074-3,03835981721,"527 Road, Korangi,City",Electrician,,,,,,,,,,,,,,,,,,,,,
Bilal Nisar,Nisar Ali,65460-5972982-4,03869496860,"344 Street, Orangi,Town",Electrician,24.93745,66.998323,"Street 4, Mominabad, Karachi Division 75840, Pakistan",,,Street 4,75840,Karachi,Orangi Sector 11,Mominabad,Karachi Division,Sindh,SD,Pakistan,pk,0.47385000000000005,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Ali,Ahmed Ahmed,91669-9354556-4,03890151880,"759 Street, Five Star,City",Body-Mechanic,,,,,,,,,,,,,,,,,,,,,
Afzal Haider,Qazi Mairaj Qazi Mairaj,33481-1665156-6,03711747836,"480 Avenue, Liaquatabad,Town",Key Maker,24.964267200000002,67.05649281016869,"Sunny Avenue, ST-5 Shahrah-e-Zahid Hussain, Pukhtunabad, Karachi Division 75850, Pakistan",ST-5,Sunny Avenue,Shahrah-e-Zahid Hussain,75850,Karachi,North Karachi Sector 7 D 2,Pukhtunabad,Karachi Division,Sindh,SD,Pakistan,pk,0.2700000000000001,0.9,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Hassan Qazi Mairaj,Nisar Faizan,93063-5574168-8,03438009573,"436 Street, Gulshan,Town",Electrician,31.483405,74.236167,"Gulshan Town, Lahore, PB, Pakistan",,Gulshan Town,,,Lahore,,Gulshan Town,Lahore,Punjab,PB,Pakistan,pk,0.9,0.9,,,,https://www.whosonfirst.org/docs/licenses/
Muhammad Ahmed,Ahmed Qamar,40355-7384281-1,03009818383,"842 Road, Orangi,Town",Body-Mechanic,24.9499909,66.980492,"L Block Road, Chisti Nagar, Karachi Division 75840, Pakistan",,L Block Road,L Block Road,75840,,Orangi Town,Chisti Nagar,Karachi Division,Sindh,SD,Pakistan,pk,0.63,1,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Nisar Muhammad,Hassan Arsalan,11927-5529033-1,03324577641,"908 Road, Saddar,Town",Body-Mechanic,33.598828,73.059156,"Burton Road, Saddar, Rawalpindi, Pakistan",,,Burton Road,,Rawalpindi,,Saddar,Rawalpindi,Punjab,PB,Pakistan,pk,0.55,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ahmed Hassan,Qamar Hassan,64585-6751050-2,03094297367,"653 Avenue, Korangi,City",Body-Mechanic,24.85019515,67.00315454118743,"Trade Avenue, Grant Road, Serai Quarter, Karachi Division 72500, Pakistan",,Trade Avenue,Grant Road,72500,Karachi,,Serai Quarter,Karachi Division,Sindh,SD,Pakistan,pk,0.38185714285714295,0.81,0.7290000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
